Name,Slot,Weight,Special,DLC,Physical,Strike,Slash,Pierce,Magic,Fire,Lightning,Holy,Immunity,Robustness,Focus,Vitality,Poise,Power
Winged Serpent Helm,Helm,4.6,Enhances Fire Knight skills by 10%.,1.0,23.53,19.8,22.34,20.3,24.68,22.22,18.79,23.45,13.73,22.22,9.35,10.19,7.0,2010.11
Salza's Hood,Helm,3.8,Increases Intelligence +2,1.0,21.57,17.82,22.34,19.29,20.13,20.2,18.79,21.38,11.76,20.2,8.41,9.26,6.0,1835.14
Leather Headband,Helm,1.0,,1.0,6.86,10.4,9.14,7.11,11.69,11.62,18.79,15.86,15.69,10.1,11.21,10.19,2.0,949.56
Leather Crown,Helm,3.3,,1.0,15.2,17.82,17.26,15.74,22.08,19.19,28.19,26.21,25.49,15.15,20.56,18.52,5.0,1728.07
Death Knight Helm,Helm,4.6,Enhances skills and incantations of the ancient dragon cult by 2%.,1.0,21.57,18.81,22.34,22.34,22.08,17.17,29.53,19.31,11.76,20.2,7.48,18.52,7.0,1904.2
Curseblade Mask,Helm,2.2,"Increases Dexterity by +5, but reduces the flask value by -7%",1.0,12.25,4.46,11.68,10.66,29.87,23.23,30.87,33.79,21.57,11.11,0.0,30.56,4.0,1605.03
Messmer's Helm,Helm,3.6,Slightly enhances incantations of Messmer's fire and Fire Knight skills by 3%.,1.0,16.67,16.83,15.74,19.29,23.38,22.22,28.19,24.83,25.49,18.18,22.43,24.07,5.0,1835.37
Messmer's Helm (Altered),Helm,3.3,Slightly enhances incantations of Messmer's fire and Fire Knight skills by 3%.,1.0,15.2,15.35,14.21,18.27,22.08,21.21,26.85,23.45,23.53,16.16,21.5,22.22,5.0,1706.2
Gravebird Helm,Helm,3.6,Empowers spells which summon rings of spectral light by 15%.,1.0,16.67,17.82,18.27,15.74,25.97,19.19,28.19,28.97,23.53,14.14,19.63,18.52,6.0,1818.71
Common Soldier Helm,Helm,3.8,,1.0,21.57,16.83,21.32,21.32,16.23,15.66,14.09,19.31,10.78,20.2,7.48,7.41,6.0,1708.21
Horned Warrior Helm,Helm,4.6,"Increases Strength by +5, but decreases healing from Flask of Crimson Tears by -7%.",1.0,23.53,21.78,23.35,20.3,23.38,18.18,20.81,21.38,12.75,25.25,0.0,8.33,7.0,1979.26
Divine Beast Helm,Helm,5.1,"Heightens intensity of the storm by 4%, boost Strength by +3 and Dexerity by +3, but reduces restorative effect of sacred tears by -9% and lower focus by -45",1.0,23.53,21.78,24.37,22.34,24.68,20.2,24.16,26.21,13.73,23.23,0.0,10.19,8.0,2079.16
Divine Bird Helm,Helm,4.6,"Heightens the power of divine bird feathers by 10%, boost Strength by +3 and Dexerity by +4, but reduces restorative effect of sacred tears by -9% and lower focus by -45",1.0,23.53,21.78,22.34,21.32,24.68,18.18,18.79,21.38,13.73,22.22,0.0,8.33,8.0,1968.01
Rellana's Helm,Helm,5.1,,1.0,23.53,20.79,25.38,23.35,29.22,21.21,22.82,26.21,14.71,24.24,9.35,9.26,8.0,2152.61
Young Lion's Helm,Helm,6.4,,1.0,29.9,25.74,30.96,30.96,28.57,23.23,26.85,31.72,21.57,31.31,10.28,13.89,10.0,2598.75
Circlet of Light,Helm,1.0,"+1 to Intelligence, Faith, and ArcaneBoosts the power of Miquella's Light",1.0,13.73,15.35,12.69,14.21,18.18,15.66,22.82,23.45,22.55,14.14,14.02,18.52,5.0,1483.97
Shadow Militiaman Helm,Helm,3.0,,1.0,12.25,15.35,14.21,14.21,23.38,19.19,25.5,21.38,32.35,14.14,16.82,16.67,4.0,1572.69
Divine Beast Head,Helm,10.6,"Heightens intensity of the storm by 10%, boost Strength by +4 and Dexerity by +4, but reduces restorative effect of sacred tears by -11% and lower focus by -63",1.0,34.31,29.21,34.01,34.52,31.82,36.36,30.87,33.79,28.43,26.26,0.0,22.22,13.0,2977.72
St. Trina's Blossom,Helm,1.0,Boosts max FP by 6%.,1.0,4.41,4.46,7.11,-4.06,28.57,19.19,29.53,30.34,11.76,4.04,22.43,22.22,2.0,1109.43
Crucible Hammer-Helm,Helm,7.5,Strengthens Aspects of the Crucible Incantations.,1.0,33.33,30.2,34.52,34.01,30.52,24.75,30.2,31.72,25.49,33.33,16.82,16.67,11.0,2857.58
Greatjar,Helm,12.3,Increases the power of all thrown pots by 16%.,1.0,39.22,34.16,39.09,39.09,34.42,26.26,36.91,35.17,31.37,34.34,20.56,19.44,14.0,3257.04
Imp Head (Lion),Helm,8.1,+2 Vigor,1.0,34.31,29.21,35.53,35.53,29.87,26.26,30.87,31.72,25.49,44.44,16.82,16.67,13.0,2972.98
Alberich's Pointed Hat,Helm,1.7,Strengthens thorn sorcery by 6%.,0.0,8.82,6.93,9.14,9.14,29.87,21.21,29.53,31.72,15.69,10.1,27.1,28.7,2.0,1465.82
Alberich's Pointed Hat (Altered),Helm,1.0,,0.0,4.41,0.99,4.57,4.57,28.57,19.19,26.85,30.34,11.76,7.07,21.5,22.22,1.0,1136.78
Albinauric Mask,Helm,3.8,"+4 Arcane,reduces the HP recovered from Flask of Crimson Tears by 10%.",0.0,19.61,15.35,20.3,19.29,16.23,15.66,14.09,17.24,11.76,23.23,9.35,9.26,5.0,1632.38
All-Knowing Helm,Helm,4.6,,0.0,22.55,20.79,24.37,21.32,28.57,17.17,24.16,21.38,11.76,20.2,8.41,8.33,7.0,1994.85
Aristocrat Hat,Helm,3.0,,0.0,15.2,15.35,14.21,15.74,24.68,20.2,25.5,21.38,21.57,14.14,16.82,18.52,4.0,1654.24
Aristocrat Headband,Helm,1.2,,0.0,9.31,9.41,9.64,8.12,25.97,18.18,25.5,27.59,14.71,10.1,23.36,20.37,2.0,1360.37
Ash-of-War Scarab,Helm,5.1,Reduces the FP cost of skills by ~14%. Increases damage taken by ~5%.,0.0,-28.53,-27.72,-29.54,-29.54,-32.08,-24.95,-33.15,-34.83,41.18,22.22,25.23,24.07,6.0,-2080.34
Astrologer Hood,Helm,1.7,,0.0,8.82,6.93,7.11,7.11,29.87,22.73,30.87,31.03,17.65,9.09,28.97,25.0,3.0,1450.43
Azur's Glintstone Crown,Helm,3.6,"Increases the damage of Comet Azur by 15%, and Glintstone Cometshard and Comet by 10%. Increases FP consumption from sorceries by 15%.",0.0,13.73,11.39,12.69,12.69,37.66,23.23,31.54,34.48,22.55,14.14,41.12,36.11,4.0,1876.13
Bandit Mask,Helm,3.0,,0.0,13.73,15.35,15.74,15.74,20.13,17.17,24.16,21.38,29.41,14.14,13.08,14.81,4.0,1560.3
Banished Knight Helm,Helm,7.5,,0.0,33.33,26.73,35.53,31.98,31.17,24.24,30.87,32.41,25.49,35.35,14.95,16.67,11.0,2840.48
Banished Knight Helm (Altered),Helm,7.1,,0.0,32.84,25.74,34.52,30.96,30.52,23.74,30.87,31.72,20.59,30.3,12.15,12.96,11.0,2736.75
Beast Champion Helm,Helm,7.5,,0.0,30.88,29.21,34.52,34.01,29.87,24.75,30.87,33.1,23.53,39.39,16.82,14.81,11.0,2821.09
Black Dumpling,Helm,2.7,Raises attack (+10 % to all damage) when the wearer suffers from madness for 60 seconds,0.0,13.73,15.35,14.21,14.21,20.13,17.17,24.16,21.38,23.53,15.15,0.0,18.52,4.0,1516.4
Black Hood,Helm,3.0,,0.0,13.73,15.35,15.74,15.74,20.13,17.17,24.16,21.38,32.35,16.16,14.95,16.67,4.0,1584.97
Black Knife Hood,Helm,3.8,,0.0,18.63,17.82,21.32,21.32,18.18,15.66,14.09,26.21,10.78,18.18,8.41,8.33,6.0,1697.22
Black Wolf Mask,Helm,5.9,,0.0,25.49,22.77,26.4,27.92,25.97,22.73,24.16,28.97,15.69,33.33,10.28,10.19,9.0,2331.17
Blackflame Monk Hood,Helm,4.0,,0.0,21.57,16.83,23.35,21.32,18.18,22.22,14.09,19.31,10.78,20.2,4.67,10.19,7.0,1807.49
Blackguard's Iron Mask,Helm,6.2,,0.0,28.43,21.78,30.96,27.92,27.27,22.22,26.85,31.03,21.57,31.31,11.21,11.11,9.0,2474.75
Bloodhound Knight Helm,Helm,4.6,,0.0,21.57,19.8,25.38,24.37,22.08,18.18,16.78,24.83,13.73,22.22,9.35,9.26,6.0,1945.27
Bloodsoaked Mask,Helm,2.2,,0.0,8.82,8.91,9.14,10.66,29.87,22.22,30.2,31.72,17.65,10.1,28.04,28.7,3.0,1514.09
Blue Cloth Cowl,Helm,2.7,,0.0,13.73,13.86,11.68,11.68,20.13,17.17,25.5,19.31,23.53,15.15,16.82,16.67,4.0,1473.71
Blue Festive Hood,Helm,1.7,,0.0,6.86,6.93,10.66,9.14,29.22,20.2,30.2,33.79,19.61,9.09,28.97,25.0,2.0,1430.61
Blue Silver Mail Hood,Helm,3.8,,0.0,20.59,15.35,22.34,19.29,23.38,17.17,16.78,17.24,9.8,24.24,4.67,4.63,6.0,1763.06
Briar Helm,Helm,5.1,Deals damage when rolling into targets. Damage increases exponentially with more briar pieces.,0.0,22.55,19.8,24.37,22.34,24.68,22.22,20.81,26.21,14.71,31.31,9.35,9.26,9.0,2101.13
Bull-Goat Helm,Helm,11.3,,0.0,36.76,36.63,34.01,34.01,30.52,24.24,35.57,31.72,30.39,35.35,18.69,21.3,15.0,3049.7
Carian Knight Helm,Helm,4.6,,0.0,20.59,18.81,22.34,21.32,28.57,21.21,22.82,28.97,11.76,20.2,8.41,9.26,6.0,2001.6
Cerulean Tear Scarab,Helm,5.1,"Increases the recovery effects of the Flask of Cerulean Tears by 10%, but increases damage taken.",0.0,-28.53,-27.72,-29.54,-29.54,-32.08,-24.95,-33.15,-34.83,41.18,22.22,25.23,24.07,6.0,-2080.34
Chain Coif,Helm,3.8,,0.0,20.59,15.35,23.35,21.32,16.23,19.19,14.09,19.31,10.78,18.18,4.67,7.41,6.0,1705.47
Champion Headband,Helm,2.7,,0.0,11.27,15.35,12.69,14.21,18.18,17.17,24.16,23.45,21.57,14.14,16.82,14.81,5.0,1437.96
Cleanrot Helm,Helm,6.4,,0.0,25.49,23.76,29.44,31.98,29.22,23.23,26.85,33.1,26.47,29.29,11.21,12.96,9.0,2484.51
Cleanrot Helm (Altered),Helm,5.5,,0.0,22.55,20.79,25.38,27.92,25.97,21.21,22.82,31.72,20.59,21.21,8.41,9.26,7.0,2168.28
Commoner's Headband,Helm,1.4,,0.0,4.41,8.91,9.14,7.11,28.57,20.2,28.19,30.34,14.71,10.1,25.23,26.85,2.0,1304.64
Commoner's Headband (Altered),Helm,0.7,,0.0,0.49,5.45,5.58,3.05,25.32,17.68,24.83,26.9,11.76,8.08,21.5,22.22,1.0,989.73
Confessor Hood,Helm,3.3,,0.0,13.73,17.82,14.21,15.74,24.68,19.19,28.19,23.45,25.49,20.2,18.69,20.37,5.0,1705.46
Confessor Hood (Altered),Helm,2.7,,0.0,11.27,15.35,11.68,12.69,22.08,17.17,25.5,19.31,20.59,14.14,13.08,14.81,3.0,1428.77
Consort's Mask,Helm,3.6,+1 Dexterity,0.0,13.73,13.86,12.69,12.69,32.47,24.24,32.21,34.48,23.53,14.14,36.45,32.41,5.0,1852.01
Crimson Hood,Helm,1.7,+1 Vigor,0.0,6.86,8.91,7.11,9.14,29.87,23.23,30.2,31.72,15.69,9.09,25.23,26.85,3.0,1430.26
Crimson Tear Scarab,Helm,5.1,"Increases the recovery effects of the Flask of Crimson Tears by 10%, but increases damage taken.",0.0,-28.53,-27.72,-29.54,-29.54,-32.08,-24.95,-33.15,-34.83,41.18,22.22,25.23,24.07,6.0,-2080.34
Crucible Axe Helm,Helm,6.6,Strengthens Aspects of the Crucible incantations by 4%.,0.0,30.88,24.75,30.96,30.96,29.87,23.23,26.85,33.1,21.57,31.31,14.02,13.89,11.0,2642.71
Crucible Tree Helm,Helm,6.6,Strengthens Aspects of the Crucible incantations by 4%.,0.0,31.86,24.75,31.98,28.43,29.87,21.21,26.85,35.86,21.57,31.31,14.02,13.89,11.0,2654.21
Cuckoo Knight Helm,Helm,5.1,,0.0,23.53,19.8,26.4,24.37,28.57,21.21,20.81,24.83,13.73,24.24,9.35,9.26,8.0,2130.84
Depraved Perfumer Headscarf,Helm,2.1,,0.0,9.8,9.9,8.63,6.6,29.87,22.73,29.53,31.03,27.45,10.1,23.36,31.48,3.0,1535.86
Diallos's Mask,Helm,4.6,,0.0,23.53,18.81,23.35,22.34,23.38,18.18,16.78,23.45,14.71,23.23,9.35,9.26,7.0,1970.2
Drake Knight Helm,Helm,4.0,,0.0,19.61,16.83,21.32,20.3,23.38,20.2,20.81,24.83,10.78,20.2,8.41,8.33,6.0,1840.08
Drake Knight Helm (Altered),Helm,3.6,,0.0,17.65,14.36,19.29,18.27,20.78,18.18,17.45,22.07,8.82,16.16,6.54,6.48,6.0,1622.75
Duelist Helm,Helm,6.2,Increases likelihood of being targeted by foes.,0.0,28.43,25.74,30.96,30.96,25.97,22.73,24.16,28.97,23.53,24.24,10.28,11.11,10.0,2457.51
Eccentric's Hood,Helm,4.0,,0.0,21.57,16.83,21.32,22.34,22.08,18.18,15.44,21.38,13.73,24.24,8.41,7.41,6.0,1855.33
Eccentric's Hood (Altered),Helm,4.0,,0.0,21.57,16.83,21.32,22.34,22.08,18.18,15.44,21.38,11.76,21.21,7.48,6.48,6.0,1829.38
Elden Lord Crown,Helm,3.6,,0.0,18.63,16.83,18.27,20.3,16.23,18.18,14.09,15.86,10.78,20.2,0.0,4.63,5.0,1593.05
Envoy Crown,Helm,3.8,Increases Potency of bubble skills (unique skills on Envoy weapons) by 15%.,0.0,13.73,15.35,15.74,14.21,34.42,23.74,32.89,37.93,26.47,15.15,42.99,42.59,4.0,1971.09
Exile Hood,Helm,4.0,,0.0,21.57,16.83,23.35,22.34,18.18,19.19,15.44,23.45,11.76,23.23,8.41,7.41,6.0,1843.16
Festive Hood,Helm,1.7,,0.0,6.86,8.91,10.66,9.14,29.22,21.21,29.53,31.72,17.65,9.09,27.1,26.85,2.0,1432.81
Festive Hood (Altered),Helm,1.0,,0.0,0.98,4.46,7.11,4.57,27.27,19.19,26.85,31.03,12.75,4.04,21.5,21.3,1.0,1068.84
Fia's Hood,Helm,1.7,,0.0,6.86,8.91,7.11,7.11,28.57,21.21,29.53,31.72,17.65,8.08,27.1,41.67,2.0,1393.98
Finger Maiden Fillet,Helm,2.2,,0.0,10.29,8.91,9.14,7.11,31.17,23.23,30.87,33.1,17.65,10.1,28.97,28.7,4.0,1560.95
Fingerprint Helm,Helm,4.6,,0.0,23.53,20.79,21.32,21.32,22.08,22.73,15.44,23.45,13.73,26.26,4.67,9.26,8.0,2000.03
Fire Monk Hood,Helm,4.0,,0.0,22.55,18.81,21.32,20.3,20.13,22.73,16.78,17.24,10.78,20.2,8.41,8.33,6.0,1851.88
Fire Prelate Helm,Helm,10.6,,0.0,34.31,30.2,34.01,34.01,31.17,36.36,30.87,32.41,28.43,27.27,36.45,20.37,14.0,3006.06
Foot Soldier Cap,Helm,3.6,,0.0,16.67,17.82,17.26,17.26,24.68,20.2,28.19,26.21,26.47,18.18,21.5,21.3,6.0,1839.39
Foot Soldier Helm,Helm,3.6,,0.0,17.65,16.83,15.74,15.74,24.68,21.21,28.19,26.21,26.47,18.18,21.5,21.3,6.0,1844.25
Foot Soldier Helmet,Helm,3.6,,0.0,16.67,16.83,18.27,18.27,25.97,20.2,26.85,24.83,26.47,18.18,21.5,21.3,6.0,1843.16
Gelmir Knight Helm,Helm,5.1,,0.0,23.53,19.8,25.38,24.37,24.68,22.22,24.16,26.21,14.71,23.23,9.35,9.26,8.0,2118.19
Gilded Foot Soldier Cap,Helm,3.6,,0.0,16.67,18.81,15.74,18.27,23.38,19.19,29.53,26.21,26.47,18.18,21.5,21.3,6.0,1828.35
Glintstone Scarab,Helm,5.1,Reduces the FP cost of Sorceries by ~15%. Increases damage taken.,0.0,18.63,19.8,19.29,19.29,29.87,23.23,30.87,31.03,41.18,22.22,25.23,24.07,6.0,2140.85
Godrick Knight Helm,Helm,5.1,,0.0,23.53,20.79,25.38,23.35,24.68,21.21,22.82,26.21,14.71,24.24,9.35,9.26,8.0,2107.21
Godrick Soldier Helm,Helm,4.0,,0.0,21.57,17.82,22.34,21.32,20.13,18.18,16.78,21.38,11.76,22.22,8.41,8.33,7.0,1832.32
Godskin Apostle Hood,Helm,2.2,,0.0,11.27,10.4,10.66,7.11,29.87,22.22,30.2,34.48,19.61,10.1,30.84,28.7,3.0,1599.95
Godskin Noble Hood,Helm,1.7,,0.0,6.86,13.86,9.14,7.11,29.22,20.2,28.19,33.1,15.69,10.1,25.23,26.85,3.0,1436.7
Great Horned Headband,Helm,3.3,,0.0,13.73,15.35,14.21,14.21,20.13,17.17,25.5,23.45,32.35,23.23,25.23,20.37,4.0,1639.61
Greathelm,Helm,5.9,,0.0,26.96,20.79,29.44,26.4,27.27,23.23,25.5,28.97,15.69,29.29,10.28,10.19,9.0,2363.13
Greathood,Helm,5.1,"+2 Intelligence, +2 Faith, Reduces HP by 9%.",0.0,18.63,17.82,19.29,18.27,35.71,25.25,36.91,42.76,32.35,20.2,43.93,43.52,5.0,2307.3
Guardian Mask,Helm,3.8,,0.0,18.63,17.82,18.27,17.26,27.27,20.2,28.19,28.97,32.35,22.22,24.3,22.22,5.0,1988.24
Guilty Hood,Helm,1.4,,0.0,4.41,6.93,9.14,1.02,28.57,20.2,30.2,31.72,14.71,9.09,25.23,28.7,2.0,1255.58
Haima Glintstone Crown,Helm,2.7,"+2 Strength,+2 Intelligence. Reduces max FP by 10%.",0.0,11.27,12.38,10.66,11.68,31.17,22.73,30.87,31.72,21.57,11.11,30.84,36.11,4.0,1673.83
Haligtree Helm,Helm,4.0,+1 Faith,0.0,21.57,18.81,21.32,22.34,18.18,17.17,16.78,23.45,11.76,22.22,8.41,9.26,6.0,1827.08
Haligtree Knight Helm,Helm,5.1,+2 Faith,0.0,23.53,21.78,24.37,24.37,23.38,20.2,22.82,27.59,14.71,24.24,9.35,10.19,7.0,2103.71
Hierodas Glintstone Crown,Helm,3.0,"+2 Intelligence, +2 Endurance. Reduces max FP by 10%",0.0,11.27,11.39,14.21,11.68,31.82,23.74,30.87,33.79,19.61,11.11,36.45,38.89,4.0,1724.36
High Page Hood,Helm,1.4,,0.0,4.41,8.91,4.57,4.57,29.87,21.21,29.53,31.03,14.71,8.08,25.23,25.0,2.0,1272.99
Highwayman Hood,Helm,3.3,,0.0,13.73,17.82,14.21,15.74,24.68,19.19,26.85,24.83,23.53,15.15,20.56,20.37,4.0,1674.11
Hoslow's Helm,Helm,5.5,,0.0,25.49,21.78,25.38,24.37,25.97,22.22,25.5,26.21,17.65,27.27,10.28,10.19,8.0,2239.51
Iji's Mirrorhelm,Helm,7.5,,0.0,18.63,18.81,26.4,26.4,40.26,23.23,32.21,40.0,21.57,42.42,24.3,36.11,7.0,2486.45
Imp Head (Cat),Helm,8.1,+2 Intelligence,0.0,28.43,25.74,29.44,30.96,32.47,29.29,32.21,34.48,34.31,35.35,18.69,18.52,10.0,2771.11
Imp Head (Corpse),Helm,8.1,+2 Faith,0.0,28.43,25.74,29.44,30.96,32.47,29.29,32.21,34.48,34.31,35.35,18.69,18.52,10.0,2771.11
Imp Head (Elder),Helm,8.1,+2 Arcane,0.0,28.43,25.74,29.44,30.96,32.47,29.29,32.21,34.48,34.31,35.35,18.69,18.52,10.0,2771.11
Imp Head (Fanged),Helm,8.1,+2 Strength,0.0,28.43,25.74,29.44,30.96,32.47,29.29,32.21,34.48,34.31,35.35,18.69,18.52,10.0,2771.11
Imp Head (Long-Tongued),Helm,8.1,+2 Dexterity,0.0,28.43,25.74,29.44,30.96,32.47,29.29,32.21,34.48,34.31,35.35,18.69,18.52,10.0,2771.11
Imp Head (Wolf),Helm,8.1,+2 Endurance,0.0,28.43,25.74,29.44,30.96,32.47,29.29,32.21,34.48,34.31,35.35,18.69,18.52,10.0,2771.11
Incantation Scarab,Helm,5.1,Reduces the FP cost of incantations by 15%. Increases damage taken by 5%,0.0,-28.53,-27.72,-29.54,-29.54,-32.08,-24.95,-33.15,-34.83,41.18,22.22,25.23,24.07,6.0,-2080.34
Iron Helmet,Helm,3.8,,0.0,21.57,15.35,20.3,21.32,16.23,15.66,15.44,21.38,11.76,18.18,7.48,7.41,6.0,1701.29
Iron Kasa,Helm,3.8,,0.0,17.65,17.82,21.32,18.27,25.97,21.21,29.53,27.59,29.41,23.23,22.43,22.22,6.0,1981.7
Jar,Helm,6.8,Boosts the power of Cracked Pot and Ritual Pot consumables by 15%,0.0,33.33,16.83,35.53,34.52,30.52,24.75,30.87,32.41,23.53,33.33,14.95,13.89,10.0,2759.42
Juvenile Scholar Cap,Helm,1.4,,0.0,6.86,8.91,9.14,7.11,29.22,20.2,28.19,30.34,14.71,10.1,24.3,26.85,2.0,1373.91
Kaiden Helm,Helm,4.0,,0.0,21.57,16.83,22.34,22.34,20.13,17.17,18.79,21.38,11.76,22.22,8.41,8.33,7.0,1832.51
Karolos Glintstone Crown,Helm,5.1,+3 Intelligence. Reduces max Stamina by 9%,0.0,21.57,15.35,26.4,24.37,28.57,22.73,22.82,26.21,15.69,26.26,9.35,9.26,6.0,2097.19
Knight Helm,Helm,4.6,,0.0,21.57,20.79,24.37,24.37,24.68,19.19,22.82,21.38,11.76,22.22,7.48,7.41,8.0,1978.64
Land of Reeds Helm,Helm,3.6,,0.0,15.2,16.83,24.37,17.26,23.38,20.2,28.19,26.21,25.49,22.22,20.56,21.3,5.0,1850.38
Lazuli Glintstone Crown,Helm,5.1,"+3 Intelligence, +3 Dexterity. Reduces HP by 18%",0.0,21.57,15.35,26.4,24.37,28.57,22.73,22.82,26.21,15.69,26.26,9.35,9.26,6.0,2097.19
Leyndell Knight Helm,Helm,5.1,,0.0,23.53,21.78,24.37,24.37,23.38,20.2,24.16,26.21,14.71,24.24,9.35,9.26,8.0,2099.82
Leyndell Soldier Helm,Helm,4.0,,0.0,21.57,18.81,21.32,22.34,18.18,17.17,18.79,21.38,11.76,22.22,8.41,8.33,7.0,1821.71
Lionel's Helm,Helm,9.1,,0.0,30.88,29.21,35.53,36.55,31.17,26.77,30.87,33.1,26.47,42.42,16.82,20.37,13.0,2914.24
Lusat's Glintstone Crown,Helm,3.6,"Increases the damage of Stars of Ruin by 15%, and Star Shower and Glintstone Stars by 10%. Increases FP consumption from sorceries by 15%.",0.0,15.2,11.39,15.74,11.68,35.71,23.23,32.21,33.79,22.55,11.11,36.45,40.74,4.0,1888.42
Malenia's Winged Helm,Helm,4.0,,0.0,21.57,16.83,23.35,20.3,18.18,17.17,15.44,26.21,21.57,18.18,7.48,7.41,6.0,1824.16
Malformed Dragon Helm,Helm,6.8,,0.0,29.9,26.73,31.98,30.96,29.87,23.23,32.89,31.72,23.53,33.33,14.95,14.81,10.0,2680.6
Maliketh's Helm,Helm,5.5,,0.0,23.53,20.79,25.38,24.37,24.68,20.2,22.82,31.72,14.71,24.24,9.35,20.37,8.0,2154.95
Marais Mask,Helm,2.2,+1 Arcane,0.0,10.29,11.39,9.14,7.11,29.87,22.73,30.2,31.72,19.61,14.14,32.71,30.56,4.0,1585.5
Marionette Soldier Birdhelm,Helm,3.8,,0.0,21.57,15.35,20.3,19.29,20.13,15.66,16.78,17.24,10.78,18.18,7.48,8.33,6.0,1699.75
Marionette Soldier Helm,Helm,3.8,,0.0,21.57,15.35,20.3,19.29,20.13,15.66,15.44,21.38,9.8,22.22,8.41,7.41,6.0,1743.34
Mask of Confidence,Helm,3.3,+3 Arcane,0.0,11.27,12.38,11.68,11.68,34.42,24.24,31.54,32.41,23.53,11.11,36.45,32.41,5.0,1744.54
Mushroom Crown,Helm,9.1,Raises attack power (+10% AR for 20 seconds) when something nearby suffers from poison or rot.,0.0,28.43,29.21,34.52,35.53,31.17,15.66,30.87,33.1,45.1,45.45,16.82,20.37,10.0,2798.28
Mushroom Head,Helm,2.2,,0.0,10.29,12.38,4.57,9.14,30.52,9.09,30.87,31.72,43.14,10.1,36.45,30.56,2.0,1501.21
